电动机描述,插电式混动 180马力,插电式混动 180马力,插电式混合动力 197马力,插电式混合动力 197马力,插电式混动 197马力
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电动机总功率(kW),132,132,145,145,145
电动机总马力(Ps),180,180,197,197,197
电动机总扭矩(N·m),316,316,325,325,325
前电动机最大功率(kW),132,132,145,145,145
前电动机最大扭矩(N·m),316,316,325,325,325
驱动电机数,单电机,单电机,单电机,单电机,单电机
电机布局,前置,前置,前置,前置,前置
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池特色技术,刀片电池,刀片电池,刀片电池,刀片电池,刀片电池
电芯品牌,比亚迪,比亚迪,比亚迪,比亚迪,比亚迪
电池组质保,首任车主不限年限/里程(责任免除条款以官方为准),首任车主不限年限/里程(责任免除条款以官方为准),首任车主不限年限/里程(责任免除条款以官方为准),首任车主不限年限/里程(责任免除条款以官方为准),首任车主不限年限/里程(责任免除条款以官方为准)
电池容量(kWh),8.32,8.32,18.32,18.32,18.32
电池能量密度(Wh/kg),,,,,
电池充电,慢充2.52小时,慢充2.52小时,"快充0.5小时
慢充5.55小时","快充0.5小时
慢充5.55小时","快充0.5小时
慢充5.55小时"
电池充电,,,●快充接口,●快充接口,●快充接口
最大快充功率(kw),,,17,17,17
快充接口位置,,,右侧油箱位,右侧油箱位,右侧油箱位
慢充接口位置,右侧油箱位,右侧油箱位,右侧油箱位,右侧油箱位,右侧油箱位
电池温度管理系统,●低温加热,●低温加热,●低温加热,●低温加热,●低温加热
电池温度管理系统,●液态冷却,●液态冷却,●液态冷却,●液态冷却,●液态冷却
单踏板模式,,,,,
VTOL移动电站功能,,,●标配,●标配,●标配
最大对外放电功率(kW),,,3.3,3.3,3.3
对外放电最低电量允许值(%),,,15,15,15
变速箱描述,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
挡位数,无级变速,无级变速,无级变速,无级变速,无级变速
变速箱类型,电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT),电子无级变速箱(E-CVT)
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
前悬挂形式,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂,麦弗逊式独立悬挂
后悬挂形式,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂,纵臂扭转梁式非独立悬挂
转向类型,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,实心盘式,实心盘式,实心盘式,实心盘式,实心盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格尺寸,225/60 R16,215/55 R17,215/55 R17,215/55 R17,215/55 R17
后轮胎规格尺寸,225/60 R16,215/55 R17,215/55 R17,215/55 R17,215/55 R17
备胎规格,,,,,
ABS防抱死,●标配,●标配,●标配,●标配,●标配
制动力分配(EBD/CBC等),●标配,●标配,●标配,●标配,●标配
刹车辅助(EBA/BA等),●标配,●标配,●标配,●标配,●标配
牵引力控制(TCS/ASR等),●标配,●标配,●标配,●标配,●标配
车身稳定系统(ESP/DSC等),●标配,●标配,●标配,●标配,●标配
主动安全预警系统,,,,,●车道偏离预警
主动安全预警系统,,,,,●前方碰撞预警
主动安全预警系统,,,,,●后方碰撞预警
主动安全预警系统,,,,,●倒车车侧预警
主动刹车,,,,,●标配
并线辅助,,,,,●标配
车道保持辅助系统,,,,,●标配
车道居中保持,,,,,●标配
疲劳驾驶提示,,,,,
主动式DMS疲劳检测,,,,,
车内生命体征检测,,,,,
道路交通标识识别,,,,,●标配
信号灯识别,,,,,
夜视系统,,,,,
前排安全气囊,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位,●主驾驶位
前排安全气囊,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位,●副驾驶位
侧安全气囊,●前排,●前排,●前排,●前排,●前排
侧安全气帘,●标配,●标配,●标配,●标配,●标配
前排膝部气囊,,,,,
中央安全气囊,,,,,
安全带未系提示,●标配,●标配,●标配,●标配,●标配
胎压监测系统,●胎压报警,●胎压显示,●胎压显示,●胎压显示,●胎压显示
儿童座椅接口(ISOFIX),●标配,●标配,●标配,●标配,●标配
被动行人保护,,,,,
安全轮胎,,,,,
驻车雷达,,●前,,●前,●前
驻车雷达,●后,●后,●后,●后,●后
前车驶离提醒,,,,,
驾驶辅助影像,●倒车影像图示,●倒车影像,●倒车影像图示,●倒车影像,●倒车影像
驾驶辅助影像,,●360°全景影像,,●360°全景影像,●360°全景影像
驾驶辅助影像,,●透明影像,,●透明影像,●透明影像
巡航系统,●定速巡航图示,●定速巡航图示,●定速巡航图示,●定速巡航图示,●定速巡航
巡航系统,,,,,●自适应巡航
