项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.84,4.23,3.70,3.73,4.18,3.67,3.67,3.67
同价位平均分,3.75,4.03,3.73,3.62,3.86,3.67,3.66,3.70
