项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.78,4.02,3.81,3.64,3.82,3.72,3.71,3.72
同价位平均分,3.59,4.01,3.61,3.47,3.65,3.45,3.45,3.47
