项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.65,4.21,3.30,3.28,3.68,3.68,3.69,3.69
同价位平均分,3.55,3.97,3.51,3.40,3.57,3.46,3.48,3.48
