项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,4.04,4.30,3.46,3.70,4.40,4.09,4.17,4.19
同价位平均分,3.99,4.18,3.95,3.92,3.98,3.95,3.93,3.99
