项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.52,3.79,3.35,3.08,3.98,3.55,3.47,3.42
同价位平均分,3.55,3.97,3.51,3.40,3.57,3.46,3.48,3.48
