项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.75,4.01,3.75,3.62,3.80,3.69,3.71,3.70
同价位平均分,3.59,4.01,3.61,3.47,3.65,3.45,3.45,3.47
