项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.83,4.15,3.79,3.77,3.87,3.75,3.75,3.75
同价位平均分,3.75,4.03,3.73,3.62,3.86,3.67,3.66,3.70
