项目,综合,外观,内饰,配置,空间,舒适性,操控,动力
当前车系得分,3.35,3.88,3.35,3.21,3.25,3.21,3.28,3.25
同价位平均分,3.34,3.94,3.36,3.19,3.33,3.19,3.19,3.20
